# RandomSeed is not predefined. Generated seed value:  4110100093912798890
# variable_neighborhood_search started at: 2024-01-15 09:22:04.889723
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/comb/ones_count_max_problem/outputs/dimension_10.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.argument()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/comb/ones_count_max_problem/inputs/dimension_10.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 3000, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 100000, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 300000, 'additionalStatisticsIsActive': True, 'additionalStatisticsKeep': 'none', 'additionalStatisticsMaxLocalOptimaCount': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'localSearchBestImprovement', 'solutionType': 'BitArray', 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	best_solution_argument	
1	1179	a_i	1111111111	10	10	True	XXX	
2	1180	a_i	1111111111	10	10	True	XXX	
3	1181	a_i	1111111111	10	10	True	XXX	
4	1182	a_i	1111111111	10	10	True	XXX	
5	1183	a_i	1111111111	10	10	True	XXX	
6	1184	a_i	1111111111	10	10	True	XXX	
7	1185	a_i	1111111111	10	10	True	XXX	
8	1186	a_i	1111111111	10	10	True	XXX	
9	1187	a_i	1111111111	10	10	True	XXX	
10	1188	a_i	1111111111	10	10	True	XXX	
11	1189	a_i	1111111111	10	10	True	XXX	
12	1190	a_i	1111111111	10	10	True	XXX	
13	1191	a_i	1111111111	10	10	True	XXX	
14	1192	a_i	1111111111	10	10	True	XXX	
15	1193	a_i	1111111111	10	10	True	XXX	
16	1194	a_i	1111111111	10	10	True	XXX	
17	1195	a_i	1111111111	10	10	True	XXX	
18	1196	a_i	1111111111	10	10	True	XXX	
19	1197	a_i	1111111111	10	10	True	XXX	
20	1198	a_i	1111111111	10	10	True	XXX	
21	1199	a_i	1111111111	10	10	True	XXX	
22	1200	a_i	1111111111	10	10	True	XXX	
23	1201	a_i	1111111111	10	10	True	XXX	
24	1202	a_i	1111111111	10	10	True	XXX	
25	1203	a_i	1111111111	10	10	True	XXX	
26	1204	a_i	1111111111	10	10	True	XXX	
27	1205	a_i	1111111111	10	10	True	XXX	
28	1206	a_i	1111111111	10	10	True	XXX	
29	1207	a_i	1111111111	10	10	True	XXX	
30	1208	a_i	1111111111	10	10	True	XXX	
31	1209	a_i	1111111111	10	10	True	XXX	
32	1210	a_i	1111111111	10	10	True	XXX	
33	1211	a_i	1111111111	10	10	True	XXX	
34	1212	a_i	1111111111	10	10	True	XXX	
35	1213	a_i	1111111111	10	10	True	XXX	
36	1214	a_i	1111111111	10	10	True	XXX	
37	1215	a_i	1111111111	10	10	True	XXX	
38	1216	a_i	1111111111	10	10	True	XXX	
39	1217	a_i	1111111111	10	10	True	XXX	
40	1218	a_i	1111111111	10	10	True	XXX	
41	1219	a_i	1111111111	10	10	True	XXX	
42	1220	a_i	1111111111	10	10	True	XXX	
43	1221	a_i	1111111111	10	10	True	XXX	
44	1222	a_i	1111111111	10	10	True	XXX	
45	1223	a_i	1111111111	10	10	True	XXX	
46	1224	a_i	1111111111	10	10	True	XXX	
47	1225	a_i	1111111111	10	10	True	XXX	
48	1226	a_i	1111111111	10	10	True	XXX	
49	1227	a_i	1111111111	10	10	True	XXX	
50	1228	a_i	1111111111	10	10	True	XXX	
51	1229	a_i	1111111111	10	10	True	XXX	
52	1230	a_i	1111111111	10	10	True	XXX	
53	1231	a_i	1111111111	10	10	True	XXX	
54	1232	a_i	1111111111	10	10	True	XXX	
55	1233	a_i	1111111111	10	10	True	XXX	
56	1234	a_i	1111111111	10	10	True	XXX	
57	1235	a_i	1111111111	10	10	True	XXX	
58	1236	a_i	1111111111	10	10	True	XXX	
59	1237	a_i	1111111111	10	10	True	XXX	
60	1238	a_i	1111111111	10	10	True	XXX	
61	1239	a_i	1111111111	10	10	True	XXX	
62	1240	a_i	1111111111	10	10	True	XXX	
63	1241	a_i	1111111111	10	10	True	XXX	
64	1242	a_i	1111111111	10	10	True	XXX	
65	1243	a_i	1111111111	10	10	True	XXX	
66	1244	a_i	1111111111	10	10	True	XXX	
67	1245	a_i	1111111111	10	10	True	XXX	
68	1246	a_i	1111111111	10	10	True	XXX	
69	1247	a_i	1111111111	10	10	True	XXX	
70	1248	a_i	1111111111	10	10	True	XXX	
71	1249	a_i	1111111111	10	10	True	XXX	
72	1250	a_i	1111111111	10	10	True	XXX	
73	1251	a_i	1111111111	10	10	True	XXX	
74	1252	a_i	1111111111	10	10	True	XXX	
75	1253	a_i	1111111111	10	10	True	XXX	
76	1254	a_i	1111111111	10	10	True	XXX	
77	1255	a_i	1111111111	10	10	True	XXX	
78	1256	a_i	1111111111	10	10	True	XXX	
79	1257	a_i	1111111111	10	10	True	XXX	
80	1258	a_i	1111111111	10	10	True	XXX	
81	1259	a_i	1111111111	10	10	True	XXX	
