# RandomSeed is not predefined. Generated seed value:  8307697398501078500
# variable_neighborhood_search started at: 2024-03-17 12:34:07.535369
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/comb/ones_count_max_problem/outputs/dimension_10.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.string_representation()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/comb/ones_count_max_problem/inputs/dimension_10.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 3000, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 100000, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 300000, 'additionalStatisticsIsActive': True, 'additionalStatisticsKeep': 'none', 'additionalStatisticsMaxLocalOptimaCount': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'localSearchBestImprovement', 'solutionType': 'BitArray', 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	
1	1149	a_i	1111111111	10	10	True	
2	1150	a_i	1111111111	10	10	True	
3	1151	a_i	1111111111	10	10	True	
4	1152	a_i	1111111111	10	10	True	
5	1153	a_i	1111111111	10	10	True	
6	1154	a_i	1111111111	10	10	True	
7	1155	a_i	1111111111	10	10	True	
8	1156	a_i	1111111111	10	10	True	
9	1157	a_i	1111111111	10	10	True	
10	1158	a_i	1111111111	10	10	True	
11	1159	a_i	1111111111	10	10	True	
12	1160	a_i	1111111111	10	10	True	
13	1161	a_i	1111111111	10	10	True	
14	1162	a_i	1111111111	10	10	True	
15	1163	a_i	1111111111	10	10	True	
16	1164	a_i	1111111111	10	10	True	
17	1165	a_i	1111111111	10	10	True	
18	1166	a_i	1111111111	10	10	True	
19	1167	a_i	1111111111	10	10	True	
20	1168	a_i	1111111111	10	10	True	
21	1169	a_i	1111111111	10	10	True	
22	1170	a_i	1111111111	10	10	True	
23	1171	a_i	1111111111	10	10	True	
24	1172	a_i	1111111111	10	10	True	
25	1173	a_i	1111111111	10	10	True	
26	1174	a_i	1111111111	10	10	True	
27	1175	a_i	1111111111	10	10	True	
28	1176	a_i	1111111111	10	10	True	
29	1177	a_i	1111111111	10	10	True	
30	1178	a_i	1111111111	10	10	True	
31	1179	a_i	1111111111	10	10	True	
32	1180	a_i	1111111111	10	10	True	
33	1181	a_i	1111111111	10	10	True	
34	1182	a_i	1111111111	10	10	True	
35	1183	a_i	1111111111	10	10	True	
36	1184	a_i	1111111111	10	10	True	
37	1185	a_i	1111111111	10	10	True	
38	1186	a_i	1111111111	10	10	True	
39	1187	a_i	1111111111	10	10	True	
40	1188	a_i	1111111111	10	10	True	
41	1189	a_i	1111111111	10	10	True	
42	1190	a_i	1111111111	10	10	True	
43	1191	a_i	1111111111	10	10	True	
44	1192	a_i	1111111111	10	10	True	
45	1193	a_i	1111111111	10	10	True	
46	1194	a_i	1111111111	10	10	True	
47	1195	a_i	1111111111	10	10	True	
48	1196	a_i	1111111111	10	10	True	
49	1197	a_i	1111111111	10	10	True	
50	1198	a_i	1111111111	10	10	True	
51	1199	a_i	1111111111	10	10	True	
52	1200	a_i	1111111111	10	10	True	
53	1201	a_i	1111111111	10	10	True	
54	1202	a_i	1111111111	10	10	True	
55	1203	a_i	1111111111	10	10	True	
56	1204	a_i	1111111111	10	10	True	
57	1205	a_i	1111111111	10	10	True	
58	1206	a_i	1111111111	10	10	True	
59	1207	a_i	1111111111	10	10	True	
60	1208	a_i	1111111111	10	10	True	
61	1209	a_i	1111111111	10	10	True	
62	1210	a_i	1111111111	10	10	True	
63	1211	a_i	1111111111	10	10	True	
64	1212	a_i	1111111111	10	10	True	
65	1213	a_i	1111111111	10	10	True	
66	1214	a_i	1111111111	10	10	True	
67	1215	a_i	1111111111	10	10	True	
68	1216	a_i	1111111111	10	10	True	
69	1217	a_i	1111111111	10	10	True	
70	1218	a_i	1111111111	10	10	True	
71	1219	a_i	1111111111	10	10	True	
72	1220	a_i	1111111111	10	10	True	
73	1221	a_i	1111111111	10	10	True	
74	1222	a_i	1111111111	10	10	True	
75	1223	a_i	1111111111	10	10	True	
76	1224	a_i	1111111111	10	10	True	
77	1225	a_i	1111111111	10	10	True	
78	1226	a_i	1111111111	10	10	True	
79	1227	a_i	1111111111	10	10	True	
80	1228	a_i	1111111111	10	10	True	
81	1229	a_i	1111111111	10	10	True	
82	1230	a_i	1111111111	10	10	True	
83	1231	a_i	1111111111	10	10	True	
84	1232	a_i	1111111111	10	10	True	
85	1233	a_i	1111111111	10	10	True	
86	1234	a_i	1111111111	10	10	True	
87	1235	a_i	1111111111	10	10	True	
88	1236	a_i	1111111111	10	10	True	
89	1237	a_i	1111111111	10	10	True	
90	1238	a_i	1111111111	10	10	True	
91	1239	a_i	1111111111	10	10	True	
92	1240	a_i	1111111111	10	10	True	
93	1241	a_i	1111111111	10	10	True	
94	1242	a_i	1111111111	10	10	True	
95	1243	a_i	1111111111	10	10	True	
96	1244	a_i	1111111111	10	10	True	
97	1245	a_i	1111111111	10	10	True	
98	1246	a_i	1111111111	10	10	True	
99	1247	a_i	1111111111	10	10	True	
100	1248	a_i	1111111111	10	10	True	
101	1249	a_i	1111111111	10	10	True	
102	1250	a_i	1111111111	10	10	True	
103	1251	a_i	1111111111	10	10	True	
104	1252	a_i	1111111111	10	10	True	
105	1253	a_i	1111111111	10	10	True	
106	1254	a_i	1111111111	10	10	True	
107	1255	a_i	1111111111	10	10	True	
