# RandomSeed is not predefined. Generated seed value:  1746308911952093473
# variable_neighborhood_search started at: 2024-01-15 09:39:45.871109
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/comb/ones_count_max_problem/outputs/dimension_10.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.argument()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/comb/ones_count_max_problem/inputs/dimension_10.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 3000, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 100000, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 300000, 'additionalStatisticsIsActive': True, 'additionalStatisticsKeep': 'none', 'additionalStatisticsMaxLocalOptimaCount': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'localSearchBestImprovement', 'solutionType': 'BitArray', 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	best_solution_argument	
1	1149	a_i	1111111111	10	10	True	XXX	
2	1150	a_i	1111111111	10	10	True	XXX	
3	1151	a_i	1111111111	10	10	True	XXX	
4	1152	a_i	1111111111	10	10	True	XXX	
5	1153	a_i	1111111111	10	10	True	XXX	
6	1154	a_i	1111111111	10	10	True	XXX	
7	1155	a_i	1111111111	10	10	True	XXX	
8	1156	a_i	1111111111	10	10	True	XXX	
9	1157	a_i	1111111111	10	10	True	XXX	
10	1158	a_i	1111111111	10	10	True	XXX	
11	1159	a_i	1111111111	10	10	True	XXX	
12	1160	a_i	1111111111	10	10	True	XXX	
13	1161	a_i	1111111111	10	10	True	XXX	
14	1162	a_i	1111111111	10	10	True	XXX	
15	1163	a_i	1111111111	10	10	True	XXX	
16	1164	a_i	1111111111	10	10	True	XXX	
17	1165	a_i	1111111111	10	10	True	XXX	
18	1166	a_i	1111111111	10	10	True	XXX	
19	1167	a_i	1111111111	10	10	True	XXX	
20	1168	a_i	1111111111	10	10	True	XXX	
21	1169	a_i	1111111111	10	10	True	XXX	
22	1170	a_i	1111111111	10	10	True	XXX	
23	1171	a_i	1111111111	10	10	True	XXX	
24	1172	a_i	1111111111	10	10	True	XXX	
25	1173	a_i	1111111111	10	10	True	XXX	
