# RandomSeed is not predefined. Generated seed value:  6968595870316292916
# VNS started at: 2023-10-14 09:17:44.019923
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'optimization_type': 'maximization', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/teaching/max_ones_problem/outputs/dimension_10.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.string_representation()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/teaching/max_ones_problem/inputs/dimension_10.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 3000, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 100000, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 300000, 'additionalStatisticsKeep': 'None', 'additionalStatisticsMaxLocalOptima': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'local_search_best_improvement', 'solutionType': 'BitArray', 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	
1	1207	a_i	1111111111000000	10	10	True	
2	1208	a_i	1111111111000000	10	10	True	
3	1209	a_i	1111111111000000	10	10	True	
4	1210	a_i	1111111111000000	10	10	True	
5	1211	a_i	1111111111000000	10	10	True	
6	1212	a_i	1111111111000000	10	10	True	
7	1213	a_i	1111111111000000	10	10	True	
8	1214	a_i	1111111111000000	10	10	True	
9	1215	a_i	1111111111000000	10	10	True	
10	1216	a_i	1111111111000000	10	10	True	
11	1217	a_i	1111111111000000	10	10	True	
12	1218	a_i	1111111111000000	10	10	True	
13	1219	a_i	1111111111000000	10	10	True	
14	1220	a_i	1111111111000000	10	10	True	
15	1221	a_i	1111111111000000	10	10	True	
16	1222	a_i	1111111111000000	10	10	True	
17	1223	a_i	1111111111000000	10	10	True	
18	1224	a_i	1111111111000000	10	10	True	
19	1225	a_i	1111111111000000	10	10	True	
20	1226	a_i	1111111111000000	10	10	True	
21	1227	a_i	1111111111000000	10	10	True	
22	1228	a_i	1111111111000000	10	10	True	
23	1229	a_i	1111111111000000	10	10	True	
24	1230	a_i	1111111111000000	10	10	True	
25	1231	a_i	1111111111000000	10	10	True	
26	1232	a_i	1111111111000000	10	10	True	
27	1233	a_i	1111111111000000	10	10	True	
28	1234	a_i	1111111111000000	10	10	True	
29	1235	a_i	1111111111000000	10	10	True	
30	1236	a_i	1111111111000000	10	10	True	
31	1237	a_i	1111111111000000	10	10	True	
32	1238	a_i	1111111111000000	10	10	True	
33	1239	a_i	1111111111000000	10	10	True	
34	1240	a_i	1111111111000000	10	10	True	
35	1241	a_i	1111111111000000	10	10	True	
36	1242	a_i	1111111111000000	10	10	True	
37	1243	a_i	1111111111000000	10	10	True	
38	1244	a_i	1111111111000000	10	10	True	
39	1245	a_i	1111111111000000	10	10	True	
40	1246	a_i	1111111111000000	10	10	True	
41	1247	a_i	1111111111000000	10	10	True	
42	1248	a_i	1111111111000000	10	10	True	
43	1249	a_i	1111111111000000	10	10	True	
44	1250	a_i	1111111111000000	10	10	True	
45	1251	a_i	1111111111000000	10	10	True	
46	1252	a_i	1111111111000000	10	10	True	
47	1253	a_i	1111111111000000	10	10	True	
48	1254	a_i	1111111111000000	10	10	True	
49	1255	a_i	1111111111000000	10	10	True	
50	1256	a_i	1111111111000000	10	10	True	
51	1257	a_i	1111111111000000	10	10	True	
52	1258	a_i	1111111111000000	10	10	True	
53	1259	a_i	1111111111000000	10	10	True	
54	1260	a_i	1111111111000000	10	10	True	
55	1261	a_i	1111111111000000	10	10	True	
56	1262	a_i	1111111111000000	10	10	True	
57	1263	a_i	1111111111000000	10	10	True	
58	1264	a_i	1111111111000000	10	10	True	
59	1265	a_i	1111111111000000	10	10	True	
60	1266	a_i	1111111111000000	10	10	True	
61	1267	a_i	1111111111000000	10	10	True	
62	1268	a_i	1111111111000000	10	10	True	
63	1269	a_i	1111111111000000	10	10	True	
64	1270	a_i	1111111111000000	10	10	True	
65	1271	a_i	1111111111000000	10	10	True	
66	1272	a_i	1111111111000000	10	10	True	
67	1273	a_i	1111111111000000	10	10	True	
68	1274	a_i	1111111111000000	10	10	True	
69	1275	a_i	1111111111000000	10	10	True	
70	1276	a_i	1111111111000000	10	10	True	
71	1277	a_i	1111111111000000	10	10	True	
72	1278	a_i	1111111111000000	10	10	True	
73	1279	a_i	1111111111000000	10	10	True	
74	1280	a_i	1111111111000000	10	10	True	
75	1281	a_i	1111111111000000	10	10	True	
76	1282	a_i	1111111111000000	10	10	True	
77	1283	a_i	1111111111000000	10	10	True	
78	1284	a_i	1111111111000000	10	10	True	
79	1285	a_i	1111111111000000	10	10	True	
80	1286	a_i	1111111111000000	10	10	True	
81	1287	a_i	1111111111000000	10	10	True	
82	1288	a_i	1111111111000000	10	10	True	
83	1289	a_i	1111111111000000	10	10	True	
84	1290	a_i	1111111111000000	10	10	True	
85	1291	a_i	1111111111000000	10	10	True	
86	1292	a_i	1111111111000000	10	10	True	
87	1293	a_i	1111111111000000	10	10	True	
88	1294	a_i	1111111111000000	10	10	True	
89	1295	a_i	1111111111000000	10	10	True	
90	1296	a_i	1111111111000000	10	10	True	
91	1297	a_i	1111111111000000	10	10	True	
92	1298	a_i	1111111111000000	10	10	True	
93	1299	a_i	1111111111000000	10	10	True	
94	1300	a_i	1111111111000000	10	10	True	
95	1301	a_i	1111111111000000	10	10	True	
96	1302	a_i	1111111111000000	10	10	True	
97	1303	a_i	1111111111000000	10	10	True	
98	1304	a_i	1111111111000000	10	10	True	
99	1305	a_i	1111111111000000	10	10	True	
100	1306	a_i	1111111111000000	10	10	True	
101	1307	a_i	1111111111000000	10	10	True	
102	1308	a_i	1111111111000000	10	10	True	
103	1309	a_i	1111111111000000	10	10	True	
104	1310	a_i	1111111111000000	10	10	True	
105	1311	a_i	1111111111000000	10	10	True	
106	1312	a_i	1111111111000000	10	10	True	
107	1313	a_i	1111111111000000	10	10	True	
108	1314	a_i	1111111111000000	10	10	True	
109	1315	a_i	1111111111000000	10	10	True	
110	1316	a_i	1111111111000000	10	10	True	
111	1317	a_i	1111111111000000	10	10	True	
112	1318	a_i	1111111111000000	10	10	True	
113	1319	a_i	1111111111000000	10	10	True	
114	1320	a_i	1111111111000000	10	10	True	
115	1321	a_i	1111111111000000	10	10	True	
116	1322	a_i	1111111111000000	10	10	True	
117	1323	a_i	1111111111000000	10	10	True	
118	1324	a_i	1111111111000000	10	10	True	
119	1325	a_i	1111111111000000	10	10	True	
120	1326	a_i	1111111111000000	10	10	True	
121	1327	a_i	1111111111000000	10	10	True	
122	1328	a_i	1111111111000000	10	10	True	
123	1329	a_i	1111111111000000	10	10	True	
124	1330	a_i	1111111111000000	10	10	True	
125	1331	a_i	1111111111000000	10	10	True	
126	1332	a_i	1111111111000000	10	10	True	
127	1333	a_i	1111111111000000	10	10	True	
128	1334	a_i	1111111111000000	10	10	True	
129	1335	a_i	1111111111000000	10	10	True	
130	1336	a_i	1111111111000000	10	10	True	
131	1337	a_i	1111111111000000	10	10	True	
132	1338	a_i	1111111111000000	10	10	True	
133	1339	a_i	1111111111000000	10	10	True	
134	1340	a_i	1111111111000000	10	10	True	
135	1341	a_i	1111111111000000	10	10	True	
136	1342	a_i	1111111111000000	10	10	True	
