# RandomSeed is not predefined. Generated seed value:  3554508247069892059
# VNS started at: 2023-10-08 08:29:01.387235
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'optimization_type': 'maximization', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/trivial/max_ones_problem/outputs/dimension_10.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.string_representation()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/trivial/max_ones_problem/inputs/dimension_10.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 3000, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 100000, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 300000, 'additionalStatisticsKeep': 'None', 'additionalStatisticsMaxLocalOptima': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'local_search_best_improvement', 'solutionType': 'BitArray', 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	
1	1138	a_i	1111111111000000	10	10	True	
2	1139	a_i	1111111111000000	10	10	True	
3	1140	a_i	1111111111000000	10	10	True	
4	1141	a_i	1111111111000000	10	10	True	
5	1142	a_i	1111111111000000	10	10	True	
6	1143	a_i	1111111111000000	10	10	True	
7	1144	a_i	1111111111000000	10	10	True	
8	1145	a_i	1111111111000000	10	10	True	
9	1146	a_i	1111111111000000	10	10	True	
10	1147	a_i	1111111111000000	10	10	True	
11	1148	a_i	1111111111000000	10	10	True	
12	1149	a_i	1111111111000000	10	10	True	
13	1150	a_i	1111111111000000	10	10	True	
14	1151	a_i	1111111111000000	10	10	True	
15	1152	a_i	1111111111000000	10	10	True	
16	1153	a_i	1111111111000000	10	10	True	
17	1154	a_i	1111111111000000	10	10	True	
18	1155	a_i	1111111111000000	10	10	True	
19	1156	a_i	1111111111000000	10	10	True	
20	1157	a_i	1111111111000000	10	10	True	
21	1158	a_i	1111111111000000	10	10	True	
22	1159	a_i	1111111111000000	10	10	True	
23	1160	a_i	1111111111000000	10	10	True	
24	1161	a_i	1111111111000000	10	10	True	
25	1162	a_i	1111111111000000	10	10	True	
26	1163	a_i	1111111111000000	10	10	True	
27	1164	a_i	1111111111000000	10	10	True	
28	1165	a_i	1111111111000000	10	10	True	
29	1166	a_i	1111111111000000	10	10	True	
30	1167	a_i	1111111111000000	10	10	True	
31	1168	a_i	1111111111000000	10	10	True	
32	1169	a_i	1111111111000000	10	10	True	
33	1170	a_i	1111111111000000	10	10	True	
34	1171	a_i	1111111111000000	10	10	True	
35	1172	a_i	1111111111000000	10	10	True	
36	1173	a_i	1111111111000000	10	10	True	
37	1174	a_i	1111111111000000	10	10	True	
38	1175	a_i	1111111111000000	10	10	True	
39	1176	a_i	1111111111000000	10	10	True	
40	1177	a_i	1111111111000000	10	10	True	
41	1178	a_i	1111111111000000	10	10	True	
42	1179	a_i	1111111111000000	10	10	True	
43	1180	a_i	1111111111000000	10	10	True	
44	1181	a_i	1111111111000000	10	10	True	
45	1182	a_i	1111111111000000	10	10	True	
46	1183	a_i	1111111111000000	10	10	True	
47	1184	a_i	1111111111000000	10	10	True	
48	1185	a_i	1111111111000000	10	10	True	
49	1186	a_i	1111111111000000	10	10	True	
50	1187	a_i	1111111111000000	10	10	True	
51	1188	a_i	1111111111000000	10	10	True	
52	1189	a_i	1111111111000000	10	10	True	
53	1190	a_i	1111111111000000	10	10	True	
54	1191	a_i	1111111111000000	10	10	True	
55	1192	a_i	1111111111000000	10	10	True	
56	1193	a_i	1111111111000000	10	10	True	
57	1194	a_i	1111111111000000	10	10	True	
58	1195	a_i	1111111111000000	10	10	True	
59	1196	a_i	1111111111000000	10	10	True	
60	1197	a_i	1111111111000000	10	10	True	
61	1198	a_i	1111111111000000	10	10	True	
62	1199	a_i	1111111111000000	10	10	True	
63	1200	a_i	1111111111000000	10	10	True	
64	1201	a_i	1111111111000000	10	10	True	
65	1202	a_i	1111111111000000	10	10	True	
66	1203	a_i	1111111111000000	10	10	True	
67	1204	a_i	1111111111000000	10	10	True	
68	1205	a_i	1111111111000000	10	10	True	
69	1206	a_i	1111111111000000	10	10	True	
70	1207	a_i	1111111111000000	10	10	True	
71	1208	a_i	1111111111000000	10	10	True	
72	1209	a_i	1111111111000000	10	10	True	
73	1210	a_i	1111111111000000	10	10	True	
74	1211	a_i	1111111111000000	10	10	True	
75	1212	a_i	1111111111000000	10	10	True	
76	1213	a_i	1111111111000000	10	10	True	
77	1214	a_i	1111111111000000	10	10	True	
78	1215	a_i	1111111111000000	10	10	True	
79	1216	a_i	1111111111000000	10	10	True	
80	1217	a_i	1111111111000000	10	10	True	
81	1218	a_i	1111111111000000	10	10	True	
82	1219	a_i	1111111111000000	10	10	True	
83	1220	a_i	1111111111000000	10	10	True	
84	1221	a_i	1111111111000000	10	10	True	
85	1222	a_i	1111111111000000	10	10	True	
86	1223	a_i	1111111111000000	10	10	True	
87	1224	a_i	1111111111000000	10	10	True	
88	1225	a_i	1111111111000000	10	10	True	
89	1226	a_i	1111111111000000	10	10	True	
90	1227	a_i	1111111111000000	10	10	True	
91	1228	a_i	1111111111000000	10	10	True	
92	1229	a_i	1111111111000000	10	10	True	
93	1230	a_i	1111111111000000	10	10	True	
94	1231	a_i	1111111111000000	10	10	True	
95	1232	a_i	1111111111000000	10	10	True	
96	1233	a_i	1111111111000000	10	10	True	
97	1234	a_i	1111111111000000	10	10	True	
98	1235	a_i	1111111111000000	10	10	True	
99	1236	a_i	1111111111000000	10	10	True	
100	1237	a_i	1111111111000000	10	10	True	
101	1238	a_i	1111111111000000	10	10	True	
102	1239	a_i	1111111111000000	10	10	True	
103	1240	a_i	1111111111000000	10	10	True	
