# RandomSeed is not predefined. Generated seed value:  5305934378595276004
# VNS started at: 2023-09-22 22:33:57.557315
# Execution parameters: {'algorithm': 'vns', 'optimization_type': 'maximization', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/trivial/max_ones_problem/outputs/dimension_77.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.string_representation()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/trivial/max_ones_problem/inputs/dimension_77.txt', 'inputFormat': 'txt', 'maxNumberEvaluations': 5000, 'maxTimeForExecutionSeconds': 0, 'randomSeed': 0, 'evaluationCacheIsUsed': True, 'calculationSolutionDistanceCacheIsUsed': True, 'keepAllSolutionCodes': True, 'kMin': 1, 'kMax': 3, 'maxLocalOptima': 5, 'localSearchType': 'local_search_best_improvement', 'solutionType': 'BitArray', 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	
1	2995	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
2	2996	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
3	2997	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
4	2998	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
5	2999	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
6	3000	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
7	3001	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
8	3002	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
9	3003	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
10	3004	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
11	3005	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
12	3006	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
13	3007	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
14	3008	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
15	3009	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
16	3010	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
17	3011	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
18	3012	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
19	3013	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
20	3014	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
21	3015	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
22	3016	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
23	3017	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
24	3018	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
25	3019	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
26	3020	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
27	3021	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
28	3022	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
29	3023	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
30	3024	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
31	3025	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
32	3026	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
33	3027	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
34	3028	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
35	3029	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
36	3030	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
37	3031	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
38	3032	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
39	3033	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
40	3034	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
41	3035	a_i	11111111111111111111111111111111111111111111111111111111111111111111111111111111	80	80	True	
