# RandomSeed is not predefined. Generated seed value:  4439493228625465290
# VNS started at: 2023-09-22 21:57:15.913019
# Execution parameters: {'algorithm': 'vns', 'optimization_type': 'maximization', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/trivial/max_ones_problem/outputs/dimension_77.csv', 'outputFileNameAppendTimeStamp': False, 'outputFields': 'iteration, evaluation', 'outputMoments': 'after_algorithm, after_evaluation', 'inputFilePath': 'opt/single_objective/trivial/max_ones_problem/inputs/dimension_77.txt', 'inputFormat': 'txt', 'maxNumberIterations': 20, 'maxTimeForExecutionSeconds': 0, 'randomSeed': 0, 'evaluationCacheIsUsed': False, 'calculationSolutionDistanceCacheIsUsed': False, 'keepAllSolutionCodes': False, 'kMin': 1, 'kMax': 3, 'maxLocalOptima': 7, 'localSearchType': 'local_search_best_improvement', 'solutionType': 'BitArray'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	
0	1	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	2	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	3	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	4	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	5	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	6	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	7	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	8	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	9	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	10	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	11	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	12	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	13	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	14	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	15	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	16	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	17	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	18	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	19	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	20	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	21	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	22	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	23	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	24	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	25	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	26	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	27	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	28	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	29	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	30	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	31	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	32	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	33	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	34	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	35	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	36	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	37	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	38	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	39	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	40	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	41	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	42	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	43	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	44	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	45	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
1	46	a_e	10001010110111101010111000101000111001001111111100001001110001110011011011011	43	43	True	
