# RandomSeed is not predefined. Generated seed value:  8483718263984692637
# VNS started at: 2023-10-01 11:46:09.499797
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'optimization_type': 'maximization', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/trivial/max_ones_problem/outputs/dimension_77.csv', 'outputFileNameAppendTimeStamp': False, 'outputFields': 'iteration, evaluation, best_solution.fitness_value, best_solution.string_representation()', 'outputMoments': 'after_algorithm, after_evaluation', 'inputFilePath': 'opt/single_objective/trivial/max_ones_problem/inputs/dimension_77.txt', 'inputFormat': 'txt', 'maxNumberEvaluations': 3000, 'maxNumberIterations': 0, 'maxTimeForExecutionSeconds': 0, 'randomSeed': 0, 'evaluationCacheIsUsed': False, 'calculationSolutionDistanceCacheIsUsed': False, 'keepAllSolutionCodes': False, 'kMin': 1, 'kMax': 3, 'maxLocalOptima': 7, 'localSearchType': 'local_search_best_improvement', 'solutionType': 'BitArray'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	
0	1	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	2	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	3	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	4	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	5	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	6	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	7	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	8	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	9	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	10	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	11	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	12	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	13	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	14	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	15	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	16	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
1	17	a_e	10101001110111111010010010010010000001110110000101111000011110100001000101000	35	35	True	
